epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.81245,3.34821,4.12587,1.55255,0,0,0,0,4.14428,4.81926,2.87213,0,0,0
2,1.7222,2.93099,3.77507,1.7733,0,0,0,0,3.99377,4.84939,2.79441,1.934e-05,1.934e-05,1.934e-05
3,2.66207,3.26099,4.46512,1.58197,0,0,0,0,3.82049,4.84919,2.72605,3.736e-05,3.736e-05,3.736e-05
4,3.67575,3.50036,3.31968,1.65668,0.00333,0.01852,0.00175,0.0007,3.63086,4.79689,2.53727,5.406e-05,5.406e-05,5.406e-05
5,4.72479,3.28712,3.63752,1.73159,0.03269,0.01852,0.00465,0.00232,3.61985,4.64154,2.40785,6.944e-05,6.944e-05,6.944e-05
6,5.69528,2.93621,2.77046,1.46957,0.88364,0.01852,0.01841,0.00868,3.41218,4.26375,2.2673,8.35e-05,8.35e-05,8.35e-05
7,6.69042,3.07426,2.42673,1.85744,0.15165,0.07407,0.03906,0.01513,3.12622,3.60306,2.09628,9.624e-05,9.624e-05,9.624e-05
8,7.63029,2.98275,2.28493,1.90735,0.21941,0.09259,0.0694,0.02304,3.16409,3.31695,2.02735,0.00010766,0.00010766,0.00010766
9,8.59038,2.97048,2.2312,1.81602,0.13096,0.18519,0.06666,0.02007,3.25971,3.39218,1.99852,0.00011776,0.00011776,0.00011776
10,9.48378,2.69785,2.36395,1.80762,0.21061,0.16667,0.0702,0.02102,3.22414,3.0203,1.96867,0.00012654,0.00012654,0.00012654
11,10.3639,2.6683,1.9315,1.70288,0.23359,0.16375,0.07528,0.02435,3.19593,2.83183,1.91217,0.000134,0.000134,0.000134
12,11.4664,2.486,1.6123,1.29883,0.28477,0.22222,0.10819,0.03137,3.14029,2.59984,1.88432,0.00014014,0.00014014,0.00014014
13,12.4378,2.52661,1.56136,1.27382,0.32319,0.24074,0.15428,0.03961,3.16158,2.56188,1.8795,0.00014496,0.00014496,0.00014496
14,13.4175,2.29924,1.67762,1.49479,0.27056,0.24074,0.14208,0.0463,3.13431,2.52793,1.87044,0.00014846,0.00014846,0.00014846
15,14.4262,2.31371,1.40967,1.22252,0.35272,0.22222,0.14346,0.04662,3.07131,2.52748,1.833,0.00015064,0.00015064,0.00015064
16,15.4396,2.28448,1.40548,1.39267,0.34817,0.22222,0.16864,0.05274,3.0323,2.53574,1.80611,0.0001515,0.0001515,0.0001515
17,16.46,2.17093,1.29729,1.18549,0.23895,0.25926,0.18214,0.05562,3.00995,2.5186,1.80514,0.00015104,0.00015104,0.00015104
18,17.383,2.24075,1.35633,1.38363,0.23895,0.25926,0.18214,0.05562,3.00995,2.5186,1.80514,0.00014926,0.00014926,0.00014926
19,18.4545,2.75516,1.6101,1.23901,0.28798,0.20226,0.17982,0.05562,3.02291,2.43695,1.82775,0.00014616,0.00014616,0.00014616
20,19.364,2.04909,1.13286,1.15103,0.28798,0.20226,0.17982,0.05562,3.02291,2.43695,1.82775,0.00014174,0.00014174,0.00014174
21,20.2792,2.20044,1.26513,1.28705,0.20218,0.27778,0.16315,0.05148,2.9936,2.39718,1.81241,0.000136,0.000136,0.000136
22,21.1084,2.13255,1.23431,1.30682,0.20218,0.27778,0.16315,0.05148,2.9936,2.39718,1.81241,0.00012894,0.00012894,0.00012894
23,22.1167,2.21747,1.30925,1.38579,0.36075,0.16667,0.17345,0.05244,2.95914,2.3745,1.8037,0.00012056,0.00012056,0.00012056
24,23.0588,2.10964,1.27049,1.22167,0.36075,0.16667,0.17345,0.05244,2.95914,2.3745,1.8037,0.00011086,0.00011086,0.00011086
25,24.0355,2.22373,1.4272,1.50901,0.3502,0.17978,0.17372,0.05274,2.93943,2.27772,1.7674,9.984e-05,9.984e-05,9.984e-05
26,24.9288,2.2644,1.67344,1.14904,0.3502,0.17978,0.17372,0.05274,2.93943,2.27772,1.7674,8.75e-05,8.75e-05,8.75e-05
27,25.8189,2.14753,1.43626,1.10391,0.24937,0.24074,0.17872,0.05173,2.91823,2.22534,1.73871,7.384e-05,7.384e-05,7.384e-05
28,26.7533,2.03331,1.24088,1.33882,0.24937,0.24074,0.17872,0.05173,2.91823,2.22534,1.73871,5.886e-05,5.886e-05,5.886e-05
29,27.7553,2.17646,1.39503,1.47178,0.24272,0.24074,0.17113,0.0529,2.92987,2.18108,1.73221,4.256e-05,4.256e-05,4.256e-05
30,28.6844,1.97864,1.19144,1.29543,0.24272,0.24074,0.17113,0.0529,2.92987,2.18108,1.73221,2.494e-05,2.494e-05,2.494e-05
