epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.64962,2.13815,1.49167,1.53543,0.46085,0.48611,0.40959,0.11425,2.55442,4.6582,1.6373,0,0,0
2,11.3154,2.30223,1.65765,1.66054,0.46572,0.45401,0.39432,0.11312,2.56726,4.16524,1.6471,1.9604e-05,1.9604e-05,1.9604e-05
3,16.839,2.28113,1.52404,1.60158,0.47879,0.47207,0.3696,0.10401,2.58596,3.64921,1.67629,3.8416e-05,3.8416e-05,3.8416e-05
4,22.2608,2.23926,1.41114,1.53791,0.42658,0.4375,0.31494,0.09332,2.61307,3.21529,1.70511,5.6436e-05,5.6436e-05,5.6436e-05
5,27.6569,2.04316,1.61789,1.58456,0.35514,0.42361,0.27581,0.08214,2.62599,3.01036,1.72658,7.3664e-05,7.3664e-05,7.3664e-05
6,33.1824,2.42061,1.48997,1.5245,0.33168,0.40278,0.28465,0.08492,2.63745,2.95273,1.74252,9.01e-05,9.01e-05,9.01e-05
7,38.6689,2.12711,1.52671,1.48835,0.36146,0.41667,0.30165,0.08864,2.64435,2.90299,1.74283,0.000105744,0.000105744,0.000105744
8,44.006,2.31814,1.75131,1.67799,0.3348,0.4375,0.31837,0.09448,2.64426,2.97046,1.73725,0.000120596,0.000120596,0.000120596
9,49.524,2.19725,1.49474,1.53999,0.34459,0.42361,0.3198,0.09463,2.62582,3.23096,1.71013,0.000134656,0.000134656,0.000134656
10,54.7863,2.27817,1.54357,1.61816,0.35924,0.42361,0.34582,0.10372,2.62558,3.24186,1.71265,0.000147924,0.000147924,0.000147924
11,60.1541,2.07463,1.37954,1.48756,0.41053,0.38194,0.32847,0.10826,2.61241,2.8344,1.71494,0.0001604,0.0001604,0.0001604
12,65.5229,2.04183,1.40727,1.4724,0.4231,0.40972,0.3497,0.11176,2.6008,2.37513,1.71491,0.000172084,0.000172084,0.000172084
13,70.7888,1.8995,1.26079,1.47316,0.47427,0.36111,0.34247,0.10552,2.64033,2.0673,1.74361,0.000182976,0.000182976,0.000182976
14,76.2093,1.92758,1.30129,1.45187,0.37728,0.40278,0.30248,0.09461,2.65382,1.94451,1.75132,0.000193076,0.000193076,0.000193076
15,81.5081,1.93648,1.28022,1.37671,0.43622,0.39583,0.32661,0.10318,2.62662,1.95346,1.72593,0.000202384,0.000202384,0.000202384
16,86.858,2.09246,1.30859,1.41544,0.41676,0.40278,0.31645,0.10158,2.58903,2.10007,1.68537,0.0002109,0.0002109,0.0002109
17,92.1912,1.95785,1.24051,1.39832,0.4377,0.46528,0.34069,0.10299,2.60951,2.32321,1.67823,0.000218624,0.000218624,0.000218624
18,97.8293,1.90385,1.25918,1.37004,0.4377,0.46528,0.34069,0.10299,2.60951,2.32321,1.67823,0.000225556,0.000225556,0.000225556
19,104.105,1.98404,1.17504,1.38592,0.5432,0.42361,0.41505,0.12185,2.63757,2.23995,1.6835,0.000231696,0.000231696,0.000231696
20,110.272,1.95992,1.17874,1.41552,0.5432,0.42361,0.41505,0.12185,2.63757,2.23995,1.6835,0.000237044,0.000237044,0.000237044
21,115.597,1.82079,1.13867,1.36642,0.55158,0.44444,0.43351,0.12509,2.64984,2.25165,1.68862,0.0002416,0.0002416,0.0002416
22,121.112,1.82026,1.17776,1.30515,0.55158,0.44444,0.43351,0.12509,2.64984,2.25165,1.68862,0.000245364,0.000245364,0.000245364
23,127.847,1.88972,1.20831,1.35397,0.50342,0.49306,0.43308,0.12689,2.62014,2.13607,1.67951,0.000248336,0.000248336,0.000248336
24,134.166,1.84524,1.24072,1.38056,0.50342,0.49306,0.43308,0.12689,2.62014,2.13607,1.67951,0.000250516,0.000250516,0.000250516
25,140.568,1.89779,1.28441,1.27509,0.45937,0.49306,0.40217,0.12649,2.58919,1.91602,1.68169,0.000251904,0.000251904,0.000251904
26,147.013,1.77204,1.18685,1.35742,0.45937,0.49306,0.40217,0.12649,2.58919,1.91602,1.68169,0.0002525,0.0002525,0.0002525
27,153.175,1.76319,1.14624,1.33241,0.51694,0.47222,0.42075,0.12231,2.57657,1.81677,1.66745,0.000252304,0.000252304,0.000252304
28,159.556,1.6698,1.06032,1.27375,0.51694,0.47222,0.42075,0.12231,2.57657,1.81677,1.66745,0.000251316,0.000251316,0.000251316
29,166.008,1.90731,1.16483,1.37574,0.54991,0.45816,0.42044,0.12739,2.55831,1.75891,1.653,0.000249536,0.000249536,0.000249536
30,172.109,1.65507,1.088,1.30126,0.54991,0.45816,0.42044,0.12739,2.55831,1.75891,1.653,0.000246964,0.000246964,0.000246964
31,178.404,1.75443,1.04108,1.24998,0.57437,0.47222,0.4479,0.13486,2.57849,1.73455,1.65617,0.0002436,0.0002436,0.0002436
32,184.845,1.78719,1.04398,1.2994,0.57437,0.47222,0.4479,0.13486,2.57849,1.73455,1.65617,0.000239444,0.000239444,0.000239444
33,191.544,1.75115,0.9734,1.25256,0.5617,0.45833,0.43079,0.12765,2.62428,1.8,1.67599,0.000234496,0.000234496,0.000234496
34,197.877,1.73071,0.96515,1.22137,0.5617,0.45833,0.43079,0.12765,2.62428,1.8,1.67599,0.000228756,0.000228756,0.000228756
35,204.179,1.74705,1.00162,1.342,0.49207,0.41667,0.38096,0.11302,2.67818,1.85102,1.7054,0.000222224,0.000222224,0.000222224
36,210.795,1.65285,0.96104,1.23107,0.49207,0.41667,0.38096,0.11302,2.67818,1.85102,1.7054,0.0002149,0.0002149,0.0002149
37,217.485,1.76312,1.01868,1.26563,0.47356,0.47917,0.39285,0.11487,2.66462,1.88519,1.69987,0.000206784,0.000206784,0.000206784
38,224.046,1.94429,1.19109,1.43317,0.47356,0.47917,0.39285,0.11487,2.66462,1.88519,1.69987,0.000197876,0.000197876,0.000197876
39,230.86,1.65994,1.0113,1.25627,0.49351,0.46528,0.38348,0.11427,2.63141,1.87327,1.68363,0.000188176,0.000188176,0.000188176
40,237.28,1.59055,0.90896,1.23498,0.49351,0.46528,0.38348,0.11427,2.63141,1.87327,1.68363,0.000177684,0.000177684,0.000177684
41,243.324,1.72593,1.15535,1.23759,0.5188,0.51389,0.38636,0.1159,2.60574,1.75643,1.68062,0.0001664,0.0001664,0.0001664
42,249.102,1.70755,1.031,1.22687,0.5188,0.51389,0.38636,0.1159,2.60574,1.75643,1.68062,0.000154324,0.000154324,0.000154324
43,254.927,1.65927,0.96794,1.29476,0.53434,0.50694,0.37395,0.11151,2.60573,1.66966,1.6858,0.000141456,0.000141456,0.000141456
44,260.695,1.6345,0.94949,1.29243,0.53434,0.50694,0.37395,0.11151,2.60573,1.66966,1.6858,0.000127796,0.000127796,0.000127796
45,266.595,1.58184,0.91355,1.25112,0.53925,0.51389,0.38747,0.11107,2.61724,1.60241,1.70886,0.000113344,0.000113344,0.000113344
46,272.54,1.64856,0.92055,1.27719,0.53925,0.51389,0.38747,0.11107,2.61724,1.60241,1.70886,9.81e-05,9.81e-05,9.81e-05
47,278.398,1.58223,0.88149,1.21004,0.52933,0.52778,0.37772,0.11309,2.61037,1.58042,1.70898,8.2064e-05,8.2064e-05,8.2064e-05
48,284.08,1.61128,0.93931,1.23945,0.52933,0.52778,0.37772,0.11309,2.61037,1.58042,1.70898,6.5236e-05,6.5236e-05,6.5236e-05
49,289.734,1.68677,0.95239,1.19641,0.53058,0.52083,0.38249,0.11478,2.59639,1.5676,1.70138,4.7616e-05,4.7616e-05,4.7616e-05
50,295.343,1.60514,0.92836,1.26861,0.53058,0.52083,0.38249,0.11478,2.59639,1.5676,1.70138,2.9204e-05,2.9204e-05,2.9204e-05
