epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3054,2.49844,3.96865,2.20471,0.02571,0.17558,0.02453,0.00907,2.38939,3.64764,2.13474,2.858e-05,2.858e-05,2.858e-05
2,41.897,2.56844,3.50558,2.14533,0.20966,0.18469,0.15832,0.06471,2.38376,2.93988,2.13505,7.00353e-05,7.00353e-05,7.00353e-05
3,60.4342,2.38104,2.83025,2.14444,0.22558,0.265,0.17838,0.06561,2.32275,3.29385,2.08197,0.000109793,0.000109793,0.000109793
4,79.3518,2.37356,2.58223,2.07462,0.19311,0.28461,0.15955,0.05601,2.35646,4.98935,2.1413,0.000147853,0.000147853,0.000147853
5,98.6288,2.409,2.37759,2.13146,0.31199,0.31916,0.21166,0.07768,2.36453,7.77956,2.14126,0.000184215,0.000184215,0.000184215
6,117.63,2.18051,1.95046,1.92889,0.26727,0.32056,0.21884,0.08076,2.35036,6.36928,2.12044,0.00021888,0.00021888,0.00021888
7,136.782,2.18407,1.90448,1.88363,0.17435,0.41125,0.18377,0.06797,2.26587,4.15778,2.01302,0.000251847,0.000251847,0.000251847
8,156.346,2.28149,1.9387,1.8976,0.21991,0.39573,0.19851,0.07669,2.2561,3.99584,1.95612,0.000283116,0.000283116,0.000283116
9,175.989,2.12377,1.8844,1.79145,0.27137,0.33288,0.20367,0.07905,2.28845,3.49541,1.91702,0.000312688,0.000312688,0.000312688
10,195.762,2.10306,1.74793,1.81407,0.3981,0.3194,0.30279,0.12658,2.28614,2.99912,1.88518,0.000340562,0.000340562,0.000340562
11,215.73,2.11296,2.10238,1.91682,0.36674,0.35007,0.33245,0.13916,2.23865,3.38145,1.84545,0.000366739,0.000366739,0.000366739
12,235.936,2.08044,2.11357,1.74569,0.3769,0.37265,0.33963,0.14555,2.21324,3.16208,1.86006,0.000391217,0.000391217,0.000391217
13,255.781,2.05902,1.59844,1.70557,0.34962,0.41527,0.36031,0.1517,2.19484,2.97588,1.90938,0.000413998,0.000413998,0.000413998
14,276.125,2.12606,1.65248,1.69184,0.44496,0.42103,0.38809,0.16854,2.15582,2.89106,1.8967,0.000435082,0.000435082,0.000435082
15,296.194,1.96701,1.60406,1.74648,0.43606,0.44659,0.40949,0.18558,2.16755,2.92381,1.94462,0.000454468,0.000454468,0.000454468
16,315.815,1.96527,1.82716,1.74649,0.48803,0.41389,0.40846,0.18556,2.18169,2.94592,1.93951,0.000472156,0.000472156,0.000472156
17,335.928,1.81571,1.61274,1.6423,0.45773,0.45896,0.41894,0.19378,2.14292,2.92394,1.8956,0.000488146,0.000488146,0.000488146
18,356.496,1.93464,1.59258,1.72907,0.44575,0.45533,0.42005,0.19288,2.11981,2.54172,1.85723,0.000502439,0.000502439,0.000502439
19,376.514,2.04492,1.59889,1.63543,0.51751,0.47468,0.44797,0.20597,2.07351,2.10576,1.78568,0.000515034,0.000515034,0.000515034
20,397.219,1.85537,1.49858,1.64356,0.52602,0.47737,0.47612,0.21358,2.04712,2.03815,1.75003,0.000525932,0.000525932,0.000525932
21,417.806,1.80367,1.50956,1.61422,0.46036,0.48172,0.45061,0.20579,2.04943,2.4179,1.74065,0.000535132,0.000535132,0.000535132
22,438.106,1.7468,1.32536,1.50108,0.45665,0.53194,0.47774,0.21989,2.0591,2.41861,1.74468,0.000542634,0.000542634,0.000542634
23,458.394,1.64871,1.22284,1.46634,0.60374,0.46609,0.49483,0.2324,2.04322,2.09206,1.74581,0.000548439,0.000548439,0.000548439
24,478.994,1.74904,1.50435,1.52886,0.53782,0.52084,0.49488,0.23083,2.03266,1.99631,1.72671,0.000552546,0.000552546,0.000552546
25,499.177,1.6555,1.34025,1.51013,0.56884,0.50947,0.50999,0.23313,2.0513,1.95183,1.7505,0.000554955,0.000554955,0.000554955
26,519.307,1.65082,1.39334,1.50243,0.52734,0.53028,0.50145,0.21933,2.07375,2.08095,1.78987,0.000555667,0.000555667,0.000555667
27,539.558,1.82984,1.34265,1.54232,0.47472,0.54341,0.48683,0.21064,2.09952,2.30938,1.81285,0.000554681,0.000554681,0.000554681
28,559.673,1.70585,1.49873,1.54181,0.47504,0.52931,0.46619,0.20733,2.07975,2.67908,1.77997,0.000551997,0.000551997,0.000551997
29,579.765,1.79524,1.76793,1.6333,0.47504,0.52931,0.46619,0.20733,2.07975,2.67908,1.77997,0.000547616,0.000547616,0.000547616
30,599.68,1.57618,1.35165,1.46624,0.46077,0.54491,0.48466,0.22483,2.03889,2.39806,1.73907,0.000541537,0.000541537,0.000541537
31,619.722,1.84168,1.88469,1.72996,0.526,0.59527,0.54531,0.25706,2.01835,1.86085,1.71051,0.00053376,0.00053376,0.00053376
32,639.93,1.57853,1.27109,1.43419,0.61018,0.56046,0.56428,0.26928,2.0326,1.64116,1.71984,0.000524286,0.000524286,0.000524286
33,660.006,1.67083,1.37139,1.49318,0.61018,0.56046,0.56428,0.26928,2.0326,1.64116,1.71984,0.000513114,0.000513114,0.000513114
34,680.248,1.53831,1.23835,1.42685,0.58948,0.59991,0.57003,0.27736,2.00383,1.60418,1.70278,0.000495291,0.000495291,0.000495291
35,700.135,1.61354,1.3672,1.47129,0.58033,0.59743,0.57673,0.28971,1.95081,1.57366,1.68105,0.000466997,0.000466997,0.000466997
36,719.872,1.52844,1.11463,1.39078,0.61357,0.56799,0.57894,0.29533,1.90331,1.51888,1.65532,0.000438703,0.000438703,0.000438703
37,739.448,1.57654,1.15876,1.41418,0.61357,0.56799,0.57894,0.29533,1.90331,1.51888,1.65532,0.000410409,0.000410409,0.000410409
38,759.453,1.48387,1.05826,1.35838,0.63358,0.5701,0.59004,0.30824,1.86498,1.42995,1.63491,0.000382115,0.000382115,0.000382115
39,779.093,1.47295,1.07119,1.41712,0.64771,0.58653,0.60596,0.32416,1.8428,1.37239,1.62592,0.00035382,0.00035382,0.00035382
40,798.61,1.59852,1.27768,1.51989,0.63379,0.60213,0.61588,0.33642,1.81689,1.3515,1.61599,0.000325526,0.000325526,0.000325526
41,818.008,1.53612,1.40804,1.45498,0.63379,0.60213,0.61588,0.33642,1.81689,1.3515,1.61599,0.000297232,0.000297232,0.000297232
42,837.408,1.75693,1.73707,1.52139,0.66513,0.60311,0.61897,0.34649,1.78426,1.29186,1.59651,0.000268938,0.000268938,0.000268938
43,856.752,1.42818,1.09058,1.28964,0.64325,0.63319,0.61949,0.35003,1.77776,1.21884,1.59796,0.000240644,0.000240644,0.000240644
44,876.31,1.63969,1.4315,1.54292,0.6566,0.62123,0.62648,0.35207,1.78222,1.18927,1.60756,0.000212349,0.000212349,0.000212349
45,895.73,1.48985,1.09045,1.38745,0.6566,0.62123,0.62648,0.35207,1.78222,1.18927,1.60756,0.000184055,0.000184055,0.000184055
46,914.965,1.80466,1.4147,1.51858,0.67096,0.62192,0.62825,0.35722,1.76974,1.1635,1.60287,0.000155761,0.000155761,0.000155761
47,934.261,1.46227,1.05063,1.3581,0.69178,0.61897,0.63679,0.35626,1.75963,1.16143,1.60385,0.000127467,0.000127467,0.000127467
48,953.305,1.39496,0.96498,1.30709,0.6747,0.65118,0.64402,0.36312,1.74411,1.15613,1.59646,9.91726e-05,9.91726e-05,9.91726e-05
49,972.257,1.5361,1.2279,1.53156,0.6747,0.65118,0.64402,0.36312,1.74411,1.15613,1.59646,7.08784e-05,7.08784e-05,7.08784e-05
