epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7976,0.94809,1.99737,2.39209,1.20593,0.48453,0.42944,0.41247,0.31314,0.48708,0.41763,0.40538,0.30567,0.82903,1.56339,1.81557,1.25073,0.00041266,0.00041266,0.00041266
2,24.2014,0.95645,1.84956,1.7767,1.1942,0.49607,0.45292,0.4565,0.34192,0.49265,0.45216,0.45154,0.31438,0.89935,1.86691,1.98154,1.33981,0.000821117,0.000821117,0.000821117
3,35.4121,0.98298,1.8722,1.66698,1.22602,0.48125,0.49744,0.43177,0.29746,0.48125,0.49744,0.43011,0.28574,1.0818,2.11496,1.927,1.44023,0.00122132,0.00122132,0.00122132
4,46.4426,0.99476,1.88132,1.69334,1.22786,0.38938,0.46943,0.39364,0.27565,0.38917,0.47359,0.39222,0.26631,1.04889,2.0233,2.45692,1.46521,0.00121287,0.00121287,0.00121287
5,57.5923,0.98153,1.88013,1.58232,1.2165,0.58013,0.51333,0.51297,0.37393,0.5703,0.52826,0.51297,0.37235,0.99966,1.82469,1.701,1.49424,0.0012005,0.0012005,0.0012005
6,68.7158,0.9825,1.81292,1.56628,1.22076,0.60307,0.5288,0.51228,0.3934,0.57962,0.56412,0.51273,0.3806,0.93311,1.63331,1.58645,1.37204,0.00118812,0.00118812,0.00118812
7,79.8256,0.93522,1.76895,1.4044,1.19334,0.61465,0.48207,0.49875,0.3636,0.584,0.48904,0.49814,0.34686,0.90825,1.8604,1.50033,1.29468,0.00117575,0.00117575,0.00117575
8,90.8432,0.91765,1.66069,1.40616,1.18643,0.62508,0.52428,0.51952,0.37398,0.63742,0.52968,0.53014,0.38176,0.94293,1.51602,1.50607,1.30414,0.00116337,0.00116337,0.00116337
9,101.987,0.9323,1.73492,1.40975,1.19147,0.6516,0.53109,0.56116,0.4306,0.64262,0.53846,0.5615,0.43311,0.8254,1.40775,1.24021,1.24037,0.001151,0.001151,0.001151
10,113.219,0.93527,1.72079,1.34004,1.19045,0.73303,0.50177,0.5734,0.44095,0.73303,0.50177,0.57274,0.42765,0.85348,1.44595,1.21547,1.26461,0.00113863,0.00113863,0.00113863
11,124.317,0.87839,1.58767,1.24192,1.15284,0.78323,0.4966,0.59998,0.47254,0.78323,0.4966,0.59823,0.45673,0.80358,1.6303,1.08436,1.2088,0.00112625,0.00112625,0.00112625
12,135.466,0.88609,1.59207,1.21888,1.14866,0.73951,0.5119,0.607,0.47656,0.70626,0.51846,0.60522,0.46486,0.81814,1.56564,1.09519,1.23568,0.00111388,0.00111388,0.00111388
13,146.582,0.84713,1.48672,1.27307,1.14935,0.71075,0.56688,0.62246,0.49663,0.70684,0.5682,0.62014,0.49013,0.7539,1.38469,1.13707,1.20132,0.0011015,0.0011015,0.0011015
14,157.633,0.81098,1.46811,1.16085,1.12127,0.75843,0.55184,0.60574,0.48135,0.75843,0.55184,0.60253,0.47635,0.76428,1.36684,1.03779,1.17282,0.00108913,0.00108913,0.00108913
15,168.649,0.84548,1.5308,1.15825,1.13043,0.74641,0.56464,0.64269,0.51622,0.75981,0.56652,0.64533,0.50871,0.77089,1.37903,0.90061,1.16487,0.00107675,0.00107675,0.00107675
16,179.706,0.80929,1.46268,1.14369,1.10991,0.71931,0.59813,0.63499,0.50972,0.71931,0.59813,0.63452,0.49601,0.75413,1.29812,0.91298,1.18491,0.00106437,0.00106437,0.00106437
17,190.754,0.8016,1.44376,1.08078,1.09083,0.68153,0.58261,0.63994,0.50556,0.68626,0.58604,0.64318,0.49514,0.78003,1.33997,0.99367,1.16604,0.001052,0.001052,0.001052
18,201.719,0.77201,1.40012,1.06224,1.10742,0.61459,0.59875,0.5981,0.48677,0.61726,0.60118,0.59524,0.46982,0.74784,1.38066,1.04745,1.1743,0.00103962,0.00103962,0.00103962
19,212.743,0.79194,1.40763,1.06861,1.10201,0.75472,0.56707,0.65605,0.52221,0.73974,0.59307,0.6605,0.50939,0.74877,1.38589,0.93584,1.15229,0.00102725,0.00102725,0.00102725
20,223.842,0.80269,1.44182,1.0655,1.09498,0.71086,0.61934,0.67621,0.53068,0.70258,0.62682,0.6783,0.51789,0.76219,1.33842,0.96465,1.21061,0.00101488,0.00101488,0.00101488
21,234.888,0.80651,1.48631,1.07889,1.11746,0.70648,0.6102,0.65977,0.51903,0.71294,0.60874,0.657,0.50757,0.69832,1.30806,0.90083,1.12167,0.0010025,0.0010025,0.0010025
22,245.881,0.76952,1.38907,1.01463,1.09624,0.8039,0.54883,0.65896,0.53425,0.79992,0.54959,0.66669,0.53495,0.71274,1.29478,0.89128,1.13519,0.000990125,0.000990125,0.000990125
23,256.986,0.77093,1.4126,1.01124,1.07916,0.63797,0.61645,0.63111,0.51639,0.6512,0.62126,0.63741,0.48305,0.7236,1.56608,0.96344,1.14829,0.00097775,0.00097775,0.00097775
24,267.991,0.74368,1.36792,0.931,1.06831,0.75651,0.5432,0.65278,0.51975,0.7568,0.54314,0.65116,0.50825,0.70395,1.27897,0.89959,1.11943,0.000965375,0.000965375,0.000965375
25,279.001,0.73692,1.30999,0.94234,1.06177,0.81321,0.57118,0.64384,0.51989,0.80976,0.57516,0.64632,0.50918,0.72107,1.3199,0.87616,1.13772,0.000953,0.000953,0.000953
26,289.993,0.72252,1.26129,0.92511,1.06307,0.73531,0.58716,0.67012,0.52925,0.73118,0.58445,0.66404,0.52114,0.73377,1.33241,0.94808,1.129,0.000940625,0.000940625,0.000940625
27,301.032,0.74328,1.30833,0.9569,1.07878,0.76772,0.57355,0.66661,0.53047,0.76927,0.57422,0.65721,0.5261,0.70042,1.31139,0.83653,1.13812,0.00092825,0.00092825,0.00092825
28,312.105,0.73426,1.2578,0.93594,1.06683,0.75162,0.57654,0.65193,0.52001,0.74261,0.57101,0.64483,0.5104,0.71941,1.24386,0.89303,1.15866,0.000915875,0.000915875,0.000915875
29,323.107,0.71501,1.27099,0.88153,1.04454,0.7952,0.59616,0.67647,0.55126,0.81135,0.57294,0.67522,0.54426,0.70162,1.27449,0.85003,1.14033,0.0009035,0.0009035,0.0009035
30,334.167,0.70446,1.24653,0.89563,1.05661,0.75396,0.57319,0.66105,0.52214,0.78014,0.57091,0.65635,0.51802,0.70939,1.29264,0.87129,1.12617,0.000891125,0.000891125,0.000891125
31,345.192,0.71535,1.26165,0.87324,1.04657,0.69232,0.60228,0.6397,0.51256,0.68357,0.60599,0.62821,0.51151,0.73541,1.296,0.94881,1.15862,0.00087875,0.00087875,0.00087875
32,356.25,0.70707,1.24156,0.86705,1.05143,0.7181,0.61484,0.66423,0.53835,0.72105,0.60676,0.65859,0.53629,0.70072,1.23722,0.89466,1.13197,0.000866375,0.000866375,0.000866375
33,367.27,0.68597,1.19924,0.85243,1.03252,0.71283,0.61035,0.6469,0.53153,0.71754,0.61697,0.64663,0.51985,0.67361,1.33201,0.8171,1.0882,0.000854,0.000854,0.000854
34,378.882,0.7172,1.27214,0.87888,1.04704,0.69978,0.58008,0.65008,0.53916,0.70055,0.58081,0.64696,0.52244,0.68721,1.26694,0.86613,1.11656,0.000841625,0.000841625,0.000841625
35,389.855,0.68592,1.17778,0.81405,1.03743,0.744,0.55289,0.63283,0.52314,0.744,0.55289,0.63548,0.51193,0.68479,1.27051,0.8722,1.11772,0.00082925,0.00082925,0.00082925
36,400.852,0.68367,1.2193,0.81088,1.04254,0.71462,0.59515,0.65931,0.55024,0.72332,0.60224,0.66111,0.5439,0.65002,1.225,0.79322,1.08264,0.000816875,0.000816875,0.000816875
37,412.013,0.67448,1.18764,0.85748,1.0411,0.74722,0.59434,0.66495,0.5458,0.74722,0.59434,0.65993,0.54225,0.65201,1.23345,0.80242,1.0869,0.0008045,0.0008045,0.0008045
38,424.161,0.65089,1.12078,0.76801,1.02382,0.66701,0.63076,0.66205,0.53777,0.66758,0.62263,0.65657,0.53164,0.69865,1.24989,0.83408,1.12767,0.000792125,0.000792125,0.000792125
39,436.408,0.63532,1.09749,0.75357,1.01855,0.78939,0.58389,0.67284,0.56028,0.78939,0.58389,0.67257,0.55123,0.66373,1.23143,0.80371,1.08513,0.00077975,0.00077975,0.00077975
40,448.78,0.66492,1.18387,0.7605,1.00701,0.78881,0.59355,0.67637,0.55818,0.7792,0.6004,0.67613,0.54684,0.66036,1.25004,0.78827,1.08654,0.000767375,0.000767375,0.000767375
41,460.792,0.65154,1.16016,0.75645,1.00386,0.67523,0.66232,0.68491,0.56221,0.68592,0.6652,0.67971,0.55159,0.65328,1.23135,0.88079,1.08568,0.000755,0.000755,0.000755
42,472.895,0.62831,1.10176,0.70677,1.00945,0.776,0.5911,0.67079,0.55145,0.79423,0.58891,0.66687,0.54176,0.67315,1.23166,0.79595,1.10584,0.000742625,0.000742625,0.000742625
43,483.885,0.65106,1.15862,0.72248,1.01716,0.69939,0.64031,0.69012,0.56257,0.77492,0.59211,0.69069,0.55533,0.65724,1.27809,0.75622,1.07594,0.00073025,0.00073025,0.00073025
44,494.943,0.65663,1.14903,0.76149,1.01963,0.75877,0.6208,0.69733,0.56875,0.75966,0.6207,0.69571,0.56967,0.67928,1.24067,0.7804,1.08919,0.000717875,0.000717875,0.000717875
45,506.02,0.66348,1.1618,0.75949,1.01188,0.73196,0.59695,0.66626,0.55008,0.70378,0.63502,0.6692,0.54499,0.64455,1.19206,0.78202,1.0602,0.0007055,0.0007055,0.0007055
46,516.97,0.64166,1.11423,0.7318,1.01547,0.71111,0.60711,0.68086,0.56782,0.71413,0.60729,0.68015,0.55713,0.65424,1.21215,0.76357,1.06804,0.000693125,0.000693125,0.000693125
47,527.956,0.64858,1.10149,0.7001,1.01024,0.73067,0.5883,0.673,0.54919,0.74197,0.58555,0.67046,0.54262,0.67383,1.23701,0.89687,1.08038,0.00068075,0.00068075,0.00068075
48,538.916,0.62605,1.0828,0.70006,0.99327,0.77835,0.62667,0.69651,0.57139,0.76903,0.62888,0.6943,0.559,0.65849,1.23449,0.72804,1.06973,0.000668375,0.000668375,0.000668375
49,549.941,0.62778,1.05844,0.7038,1.00995,0.83111,0.56123,0.67507,0.56453,0.83798,0.56466,0.67352,0.55129,0.64671,1.27203,0.77071,1.06496,0.000656,0.000656,0.000656
50,560.969,0.64237,1.09418,0.72106,1.01034,0.70418,0.65831,0.68225,0.57102,0.72632,0.6387,0.682,0.55786,0.62366,1.26323,0.74091,1.0462,0.000643625,0.000643625,0.000643625
51,571.982,0.6288,1.07202,0.68171,0.99628,0.71651,0.62663,0.69083,0.57815,0.72194,0.63123,0.69275,0.57317,0.61659,1.2395,0.74024,1.03656,0.00063125,0.00063125,0.00063125
52,583.073,0.62425,1.07497,0.68213,1.00851,0.80866,0.59141,0.67796,0.56951,0.8154,0.59419,0.68352,0.56216,0.63866,1.22102,0.73996,1.06888,0.000618875,0.000618875,0.000618875
53,594.097,0.63801,1.0974,0.69111,0.99442,0.74298,0.6109,0.6835,0.56806,0.85596,0.55857,0.68072,0.5556,0.67042,1.17014,0.746,1.08987,0.0006065,0.0006065,0.0006065
54,605.047,0.59582,1.01283,0.63047,0.98206,0.7546,0.59293,0.67281,0.56328,0.75906,0.59242,0.67543,0.55307,0.63259,1.19884,0.78174,1.06615,0.000594125,0.000594125,0.000594125
55,616.056,0.60581,1.00623,0.62603,0.98864,0.73273,0.62895,0.68191,0.55941,0.72439,0.62391,0.67575,0.55383,0.64082,1.21459,0.77464,1.05335,0.00058175,0.00058175,0.00058175
56,627.074,0.61734,1.06906,0.65749,0.99468,0.75889,0.60779,0.67825,0.55543,0.7687,0.61484,0.67923,0.56003,0.65745,1.20046,0.80016,1.07035,0.000569375,0.000569375,0.000569375
57,638.067,0.58749,1.02024,0.61376,0.97756,0.76546,0.60801,0.68527,0.56841,0.75863,0.6019,0.67708,0.56027,0.62886,1.25383,0.75995,1.05124,0.000557,0.000557,0.000557
58,649.074,0.58315,0.95925,0.592,0.97838,0.86143,0.5959,0.69193,0.56991,0.85145,0.59708,0.69393,0.56434,0.63565,1.23421,0.73206,1.05868,0.000544625,0.000544625,0.000544625
59,660.058,0.61839,1.05883,0.61705,1.00228,0.75579,0.61797,0.68152,0.57568,0.78174,0.60281,0.68172,0.55997,0.6122,1.1874,0.76756,1.0447,0.00053225,0.00053225,0.00053225
60,671.036,0.59129,0.99126,0.59787,0.97512,0.88766,0.55106,0.67157,0.5683,0.88579,0.55541,0.68065,0.55944,0.62037,1.19965,0.75663,1.04998,0.000519875,0.000519875,0.000519875
61,681.995,0.57883,0.98913,0.58837,0.97811,0.78041,0.58392,0.68108,0.58154,0.79697,0.59014,0.68426,0.57055,0.61692,1.19343,0.73129,1.03964,0.0005075,0.0005075,0.0005075
62,693.129,0.59158,1.00926,0.59774,0.97748,0.69388,0.62468,0.68522,0.56724,0.74553,0.60007,0.68288,0.56042,0.63633,1.19564,0.78793,1.05796,0.000495125,0.000495125,0.000495125
63,704.132,0.58445,1.00715,0.57819,0.98229,0.75934,0.60942,0.69389,0.58009,0.76243,0.61475,0.69579,0.57962,0.60824,1.17167,0.76951,1.0417,0.00048275,0.00048275,0.00048275
